"numCDA","probRecuperacao","stsRecuperacao"
16600110263201,99.8251,0
16600110500001,0.0337,0
16600110503101,0.0289,0
16600110306601,0.0375,0
16600110306501,0.0292,0
16600110310101,0.0324,0
16600110061101,1.7832,0
16600110666001,1.7801,0
16600113152301,0.4972,0
16600113132501,61.9463,0
16600113665101,19.5457,0
16600113102201,29.9161,0
16600113315101,99.9482,0
16600116026601,10.7657,0
16600116055001,13.6433,0
16600116106601,1.8732,0
16600116316601,31.8384,0
16600116320201,0.1472,0
16600160113501,80.5479,0
16600160503301,5.9225,0
16600600610001,0.5075,0
16600600653601,49.1693,0
16600600300501,73.9367,0
16600606020301,11.3637,0
16600606031301,12.8084,0
16600601630601,2.0387,0
16600601260201,0.6481,0
16600601235301,81.1559,0
16600601152501,11.4064,0
16600601006601,0.0339,0
16600601011001,14.7827,0
16600601333301,9.7381,0
16600601633301,98.8414,0
16600605515101,21.1289,0
16600605662601,11.6536,0
16600600166201,15.4986,0
16600600611601,7.9352,0
16600600216101,0.0036,0
16600600333001,5.4469,0
16600603023001,11.7393,0
16600603115601,0.0085,0
16600610122101,0.0741,0
16600610213301,0.9770,0
16600611363301,8.5579,0
16600616131601,19.2168,0
16600616501601,21.7625,0
16600660262001,7.2951,0
16605106601300,9.0168,0
16631000600100,0.0001,0
16631001235600,32.3996,0
16631001306600,0.0001,0
16631001616300,27.9404,0
16631001616200,0.6308,0
16631006222300,0.3671,0
16631006115100,0.0001,0
16661000065000,6.5035,0
60000106513201,19.0127,0
60000106301001,21.8206,0
60000102063601,5.8732,0
60000102231601,25.6156,0
60000103006301,3.9972,0
60000103160601,2.5864,0
60000100056301,1.1621,0
60000100600001,19.2103,0
60000100166601,19.4803,0
60000100132101,28.1118,0
60000100611001,6.3932,0
60000103600301,28.6205,0
60000103201301,34.5668,0
60000103000001,0.2509,0
60000103303301,2.1971,0
60000106266301,0.0003,0
60000106231101,26.9728,0
60000106532301,7.6094,0
60000106305501,11.9847,0
60000110102101,0.0007,0
60000110113101,86.7052,0
60000110560201,63.1791,0
60000110563001,99.7521,0
60000110306601,4.7560,0
60000110310601,6.7455,0
60000110635601,3.9847,0
60000111613501,0.0442,0
60000111260601,0.4134,0
60000111130101,13.8592,0
60000111360001,0.0303,0
60000111006601,99.7488,0
60000111600601,0.1547,0
60000111613501,5.0499,0
60000112023501,0.2221,0
60000111603301,96.9242,0
60000111016301,94.5709,0
60000111300001,98.3664,0
60000115351301,0.4437,0
60000115005601,0.1365,0
60000113163301,94.7347,0
60000113603101,0.8990,0
60000113210501,1.7033,0
60000113230001,5.1666,0
60000113265301,2.6715,0
60000110131301,0.1035,0
60000110010101,0.0567,0
60000110030101,0.0704,0
60000113100001,39.1390,0
60000116603001,0.0120,0
60000116636101,24.2436,0
60000116265601,78.6096,0
60000116150301,0.1197,0
60000116323101,1.7815,0
60000116303001,0.2593,0
60000116331001,1.6408,0
60000160233601,99.9612,0
60000160563001,4.1968,0
60000160523301,1.9791,0
60000160510601,0.8766,0
60000160506101,0.1721,0
60000160313101,6.3080,0
60000160300101,0.0524,0
60000161161001,11.9080,0
60000161160201,36.9501,0
60000161113101,0.7032,0
60000161116601,19.1998,0
60000161160001,92.7040,0
60000166636101,0.3582,0
60000166216501,4.9864,0
60000166510301,0.0134,0
60000166336101,4.3590,0
60000166660301,3.3002,0
60000162656101,95.3955,0
60000162263101,0.3447,0
60000162111301,4.5587,0
60000162562101,2.6543,0
60000162006601,5.0040,0
60000162316601,8.3759,0
60000162656101,90.5682,0
60000162601001,10.3056,0
60000161001001,0.0177,0
60000161030601,8.3956,0
60000161632101,3.2113,0
60000161315301,2.9421,0
60000165266601,58.4214,0
60000165302101,16.4226,0
60000165633601,33.6700,0
60000602011101,0.4998,0
60000602533501,4.3749,0
60000601616001,6.0328,0
60000601531100,4.0511,0
60000601532600,3.6205,0
60000601313200,7.1638,0
60000601360001,2.1222,0
60000605060201,0.8133,0
60000600112301,0.0882,0
60000600231501,0.5995,0
60000603200501,1.0625,0
60000603650601,1.3544,0
60000606213101,0.8941,0
60000610661501,1.3038,0
60000611160501,0.0055,0
60000616123101,4.3279,0
60000616130601,0.7641,0
60000616163301,1.6561,0
60000616166301,0.8486,0
60000612310601,2.3496,0
60000612311601,34.2829,0
60000612320301,0.2105,0
60000611655301,17.0814,0
60000611606601,7.4566,0
60000611202101,1.8187,0
